E, 0
0, 13
0, 13
0, 13
0, 13
1, 13
1, 13
1, 13
1, 13
2, 13
2, 13
2, 13
2, 13
3, 35
3, 13
3, 35
3, 13
4, 13
4, 13
4, 13
4, 13
5, 13
5, 35
5, 13
5, 13
6, 13
6, 13
6, 13
6, 13
7, 35
7, 13
7, 13
7, 13
8, 13
8, 13
8, 13
8, 13
9, 13
9, 13
9, 13
9, 13
10, 13
10, 13
10, 13
10, 13
11, 13
11, 13
11, 13
11, 13
12, 13
12, 13
12, 13
12, 13
13, 13
13, 13
13, 13
13, 13
14, 13
14, 13
14, 13
14, 13
15, 13
15, 13
15, 13
15, 13
16, 13
16, 13
16, 35
16, 13
17, 13
17, 13
17, 13
17, 13
18, 13
18, 35
18, 13
18, 13
19, 13
19, 13
19, 13
19, 13
20, 35
20, 13
20, 13
20, 13
21, 13
21, 13
21, 13
21, 13
22, 35
22, 35
22, 13
22, 13
23, 13
23, 13
23, 35
23, 13
24, 13
24, 13
24, 13
24, 13
25, 13
25, 35
25, 13
25, 13
26, 13
26, 13
26, 13
26, 13
27, 13
27, 13
27, 13
27, 13
28, 13
28, 13
28, 35
28, 13
29, 13
29, 13
29, 13
29, 13
30, 13
30, 13
30, 35
30, 13
31, 13
31, 13
31, 13
31, 35
32, 13
32, 35
32, 13
32, 13
33, 35
33, 13
33, 35
33, 13
34, 13
34, 35
34, 13
34, 13
35, 13
35, 13
35, 13
35, 13
36, 13
36, 35
36, 13
36, 13
37, 13
37, 13
37, 13
37, 13
38, 13
38, 13
38, 13
38, 35
39, 13
39, 13
39, 13
39, 13
E, 1
0, 13
0, 7
0, 13
0, 7
1, 7
1, 13
1, 13
1, 2
2, 31
2, 9
2, 12
2, 13
3, 7
3, 9
3, 7
3, 13
4, 13
4, 13
4, 13
4, 19
5, 13
5, 7
5, 9
5, 13
6, 7
6, 7
6, 7
6, 7
7, 2
7, 14
7, 9
7, 13
8, 13
8, 2
8, 9
8, 13
9, 13
9, 19
9, 13
9, 0
10, 13
10, 13
10, 13
10, 13
11, 9
11, 19
11, 19
11, 17
12, 13
12, 12
12, 13
12, 13
13, 13
13, 35
13, 13
13, 13
14, 13
14, 13
14, 13
14, 9
15, 19
15, 13
15, 13
15, 13
16, 13
16, 13
16, 13
16, 13
17, 13
17, 13
17, 13
17, 13
18, 9
18, 9
18, 9
18, 7
19, 13
19, 13
19, 13
19, 11
20, 0
20, 9
20, 12
20, 14
21, 7
21, 7
21, 7
21, 13
22, 13
22, 35
22, 13
22, 9
23, 0
23, 13
23, 13
23, 13
24, 13
24, 10
24, 7
24, 13
25, 9
25, 2
25, 12
25, 13
26, 13
26, 13
26, 32
26, 13
27, 9
27, 13
27, 7
27, 13
28, 7
28, 13
28, 7
28, 13
29, 7
29, 13
29, 13
29, 17
30, 13
30, 17
30, 7
30, 13
31, 5
31, 19
31, 13
31, 14
32, 13
32, 7
32, 31
32, 7
33, 13
33, 12
33, 7
33, 13
34, 13
34, 31
34, 13
34, 33
35, 13
35, 7
35, 13
35, 13
36, 13
36, 13
36, 7
36, 12
37, 9
37, 9
37, 14
